year,quarter,state,category,total_count,total_amount
2018,2,karnataka,Others,1472817.0,1468256488.1870513
2018,2,karnataka,Peer-to-peer payments,21494508.0,87405073503.9589
2018,2,karnataka,Recharge & bill payments,22175778.0,7307774424.162178
2018,2,kerala,Financial Services,123300.0,37066768.03085085
2018,2,kerala,Merchant payments,393651.0,433504746.14000094
2018,2,kerala,Others,170064.0,137359319.15399748
2018,2,kerala,Peer-to-peer payments,2544873.0,10308598767.231953
2018,2,kerala,Recharge & bill payments,3692607.0,744240429.7710719
2018,2,ladakh,Financial Services,453.0,381973.88391283294
2018,2,ladakh,Merchant payments,2172.0,5284098.889302625
2018,2,ladakh,Others,1179.0,1171002.661387494
2018,2,ladakh,Peer-to-peer payments,17001.0,127915329.35991693
2018,2,ladakh,Recharge & bill payments,24225.0,7252302.818704557
2018,2,lakshadweep,Financial Services,18.0,27403.23966947698
2018,2,lakshadweep,Merchant payments,126.0,193705.43367838667
2018,2,lakshadweep,Others,57.0,11342.308542599243
2018,2,lakshadweep,Peer-to-peer payments,3945.0,17271369.239758138
2018,2,lakshadweep,Recharge & bill payments,2250.0,1059608.3965530125
2018,2,madhya-pradesh,Financial Services,916659.0,161580995.41722828
2018,2,madhya-pradesh,Merchant payments,1191405.0,1017924609.5122213
2018,2,madhya-pradesh,Others,794391.0,729655809.9595687
2018,2,madhya-pradesh,Peer-to-peer payments,12808176.0,42466810447.47791
2018,2,madhya-pradesh,Recharge & bill payments,15973605.0,3396271337.6710095
2018,2,maharashtra,Financial Services,788625.0,256637728.30586523
2018,2,maharashtra,Merchant payments,3918978.0,3678364948.4968796
2018,2,maharashtra,Others,1679961.0,1610274233.5391636
2018,2,maharashtra,Peer-to-peer payments,23317008.0,92348493736.9758
2018,2,maharashtra,Recharge & bill payments,37152648.0,11177401076.044447
2018,2,manipur,Financial Services,17976.0,3725703.798119379
2018,2,manipur,Merchant payments,12123.0,16100279.483189505
2018,2,manipur,Others,9996.0,8707267.949470142
2018,2,manipur,Peer-to-peer payments,181095.0,696472169.3744409
2018,2,manipur,Recharge & bill payments,233973.0,34623743.353262745
2018,2,meghalaya,Financial Services,1776.0,1741945.030239632
2018,2,meghalaya,Merchant payments,8787.0,10990339.308660392
2018,2,meghalaya,Others,5451.0,5886636.705226817
2018,2,meghalaya,Peer-to-peer payments,59682.0,303421393.98719525
2018,2,meghalaya,Recharge & bill payments,127875.0,28973688.494172886
2018,2,mizoram,Financial Services,501.0,182819.3191388131
2018,2,mizoram,Merchant payments,3930.0,7106135.927677924
2018,2,mizoram,Others,1791.0,2793909.1627908703
2018,2,mizoram,Peer-to-peer payments,34281.0,231120132.75874534
2018,2,mizoram,Recharge & bill payments,40650.0,9322219.504850058
2018,2,nagaland,Financial Services,1137.0,460375.5694878411
2018,2,nagaland,Merchant payments,4587.0,6881806.472507773
2018,2,nagaland,Others,4899.0,4636825.396461357
2018,2,nagaland,Peer-to-peer payments,60297.0,420579323.0905078
2018,2,nagaland,Recharge & bill payments,125877.0,27418403.111940295
2018,2,odisha,Financial Services,1416912.0,203487779.75363812
2018,2,odisha,Merchant payments,772884.0,640592620.0611364
2018,2,odisha,Others,394395.0,308516161.2890738
2018,2,odisha,Peer-to-peer payments,11967606.0,22863864586.697105
2018,2,odisha,Recharge & bill payments,9922635.0,1448469871.0581253
2018,2,puducherry,Financial Services,6315.0,2467757.87157261
2018,2,puducherry,Merchant payments,20712.0,18309304.586312145
2018,2,puducherry,Others,10902.0,8905199.884873323
2018,2,puducherry,Peer-to-peer payments,173253.0,783899085.5673573
2018,2,puducherry,Recharge & bill payments,179601.0,43822010.68719526
2018,2,punjab,Financial Services,246768.0,53158174.23377428
2018,2,punjab,Merchant payments,443001.0,478219830.7898022
2018,2,punjab,Others,214893.0,227014886.29505312
2018,2,punjab,Peer-to-peer payments,3051477.0,12109372661.153244
2018,2,punjab,Recharge & bill payments,3787350.0,1186251083.5492349
2018,2,rajasthan,Financial Services,838413.0,156435458.81706867
2018,2,rajasthan,Merchant payments,1037256.0,1028429002.7806538
2018,2,rajasthan,Others,869478.0,934610090.0937717
2018,2,rajasthan,Peer-to-peer payments,11311665.0,40024762807.266525
2018,2,rajasthan,Recharge & bill payments,15864279.0,4533021168.316281
2018,2,sikkim,Financial Services,1686.0,654390.3898792538
2018,2,sikkim,Merchant payments,7668.0,14139681.44440792
2018,2,sikkim,Others,5364.0,6731922.022992641
2018,2,sikkim,Peer-to-peer payments,72711.0,381155953.1639523
2018,2,sikkim,Recharge & bill payments,136305.0,28397309.568154752
2018,2,tamil-nadu,Financial Services,501105.0,196207155.76921996
2018,2,tamil-nadu,Merchant payments,1883754.0,1551390961.3980923
2018,2,tamil-nadu,Others,896208.0,857382679.9297117
2018,2,tamil-nadu,Peer-to-peer payments,13301286.0,54202873164.28686
2018,2,tamil-nadu,Recharge & bill payments,13394031.0,3569678867.415532
2018,2,telangana,Financial Services,833415.0,256494639.7615243
2018,2,telangana,Merchant payments,2103246.0,1655089461.9556284
2018,2,telangana,Others,945486.0,1072068062.009448
2018,2,telangana,Peer-to-peer payments,14352237.0,62245562227.72659
2018,2,telangana,Recharge & bill payments,14059626.0,3822390161.503737
2018,2,tripura,Financial Services,20775.0,3792305.7144311043
2018,2,tripura,Merchant payments,28863.0,31712853.454706367
2018,2,tripura,Others,18063.0,14506156.902172908
2018,2,tripura,Peer-to-peer payments,221463.0,593000645.6189064
2018,2,tripura,Recharge & bill payments,354513.0,67663194.45819105
2018,2,uttar-pradesh,Financial Services,1689639.0,316610735.52079964
2018,2,uttar-pradesh,Merchant payments,2728635.0,2399761389.802224
2018,2,uttar-pradesh,Others,1565055.0,1718306529.4924908
2018,2,uttar-pradesh,Peer-to-peer payments,19453107.0,66592320047.83664
2018,2,uttar-pradesh,Recharge & bill payments,27696393.0,6133606384.4478245
2018,2,uttarakhand,Financial Services,89757.0,23739830.335503407
2018,2,uttarakhand,Merchant payments,181482.0,200838017.27670398
